Id,Category
0,3
1,10
2,0
3,9
4,6
5,0
6,9
7,10
8,3
9,2
10,10
11,0
12,5
13,10
14,8
15,4
16,9
17,9
18,5
19,9
20,3
21,5
22,1
23,3
24,9
25,3
26,5
27,4
28,3
29,8
30,5
31,9
32,3
33,4
34,2
35,9
36,5
37,10
38,8
39,8
40,7
41,2
42,2
43,3
44,2
45,1
46,10
47,3
48,0
49,9
50,10
51,1
52,3
53,8
54,3
55,8
56,0
57,9
58,6
59,9
60,2
61,8
62,6
63,3
64,10
65,1
66,3
67,9
68,4
69,10
70,5
71,5
72,5
73,9
74,4
75,2
76,3
77,1
78,5
79,9
80,3
81,9
82,9
83,8
84,8
85,0
86,4
87,2
88,9
89,0
90,8
91,5
92,3
93,5
94,0
95,6
96,2
97,2
98,6
99,10
100,5
101,0
102,8
103,5
104,0
105,7
106,6
107,5
108,9
109,10
110,2
111,5
112,5
113,3
114,1
115,0
116,9
117,7
118,9
119,3
120,0
121,5
122,3
123,5
124,3
125,0
126,5
127,8
128,10
129,9
130,8
131,0
132,8
133,3
134,4
135,3
136,1
137,8
138,3
139,3
140,8
141,10
142,10
143,2
144,1
145,10
146,9
147,5
148,8
149,5
150,5
151,1
152,6
153,0
154,10
155,1
156,1
157,1
158,8
159,5
160,5
161,10
162,5
163,0
164,8
165,0
166,8
167,8
168,3
169,3
170,8
171,1
172,4
173,4
174,9
175,0
176,2
177,10
178,8
179,7
180,1
181,8
182,9
183,8
184,10
185,9
186,5
187,3
188,6
189,4
190,1
191,1
192,1
193,4
194,7
195,5
196,8
197,9
198,4
199,3
200,9
201,2
202,8
203,7
204,4
205,9
206,3
207,4
208,10
209,4
210,3
211,5
212,10
213,2
214,1
215,2
216,10
217,3
218,9
219,5
220,5
221,2
222,5
223,7
224,5
225,5
226,3
227,9
228,6
229,3
230,3
231,2
232,6
233,8
234,3
235,2
236,9
237,10
238,3
239,3
240,4
241,3
242,8
243,4
244,2
245,8
246,6
247,7
248,10
249,6
250,9
251,3
252,5
253,0
254,5
255,9
256,4
257,9
258,8
259,0
260,3
261,8
262,8
263,0
264,4
265,9
266,1
267,3
268,0
269,9
270,9
271,8
272,8
273,4
274,6
275,9
276,9
277,5
278,3
279,9
280,1
281,1
282,4
283,3
284,10
285,3
286,2
287,4
288,3
289,10
290,9
291,9
292,9
293,10
294,5
295,6
296,7
297,4
298,8
299,5
300,8
301,9
302,3
303,1
304,0
305,10
306,9
307,3
308,9
309,3
310,1
311,3
312,1
313,8
314,9
315,0
316,7
317,3
318,0
319,9
320,1
321,8
322,5
323,0
324,4
325,3
326,2
327,6
328,10
329,0
330,1
331,0
332,9
333,9
334,2
335,2
336,3
337,4
338,5
339,10
340,9
341,6
342,5
343,5
344,3
345,5
346,10
347,6
348,4
349,7
350,4
351,10
352,6
353,2
354,6
355,3
356,8
357,10
358,10
359,5
360,4
361,5
362,10
363,2
364,2
365,2
366,9
367,3
368,10
369,7
370,9
371,4
372,5
373,4
374,3
375,3
376,9
377,9
378,2
379,5
380,10
381,7
382,9
383,9
384,10
385,3
386,9
387,10
388,10
389,3
390,3
391,3
392,10
393,10
394,7
395,5
396,0
397,8
398,4
399,9
400,9
401,9
402,9
403,9
404,10
405,3
406,3
407,2
408,4
409,4
410,6
411,7
412,4
413,7
414,3
415,7
416,4
417,4
418,1
419,8
420,5
421,9
422,2
423,10
424,3
425,8
426,3
427,9
428,9
429,9
430,5
431,1
432,7
433,8
434,3
435,2
436,8
437,10
438,1
439,9
440,10
441,9
442,9
443,5
444,5
445,9
446,5
447,10
448,3
449,9
450,4
451,9
452,3
453,1
454,6
455,6
456,0
457,4
458,8
459,7
460,10
461,9
462,10
463,10
464,0
465,2
466,7
467,3
468,9
469,0
470,5
471,4
472,8
473,8
474,4
475,3
476,7
477,1
478,1
479,2
480,5
481,1
482,3
483,1
484,10
485,2
486,1
487,9
488,5
489,9
490,3
491,3
492,7
493,2
494,2
495,2
496,8
497,2
498,8
499,10
500,6
501,1
502,5
503,1
504,0
505,0
506,6
507,8
508,10
509,10
510,2
511,7
512,9
513,4
514,4
515,2
516,9
517,9
518,5
519,0
520,5
521,3
522,7
523,9
524,5
525,2
526,5
527,9
528,6
529,4
530,4
531,1
532,4
533,3
534,7
535,10
536,1
537,5
538,8
539,2
540,10
541,3
542,10
543,8
544,9
545,8
546,3
547,5
548,3
549,10
550,9
551,8
552,3
553,6
554,0
555,2
556,1
557,3
558,7
559,2
560,10
561,1
562,5
563,8
564,6
565,9
566,5
567,1
568,8
569,3
570,5
571,0
572,3
573,5
574,7
575,4
576,8
577,3
578,4
579,1
580,8
581,4
582,9
583,9
584,3
585,6
586,10
587,2
588,7
589,2
590,9
591,3
592,4
593,5
594,2
595,1
596,0
597,2
598,4
599,4
600,5
601,10
602,2
603,6
604,4
605,9
606,9
607,9
608,5
609,3
610,5
611,9
612,8
613,5
614,9
615,10
616,8
617,9
618,4
619,2
620,7
621,4
622,4
623,2
624,4
625,3
626,3
627,9
628,2
629,6
630,3
631,0
632,2
633,2
634,9
635,9
636,9
637,1
638,2
639,6
640,10
641,0
642,4
643,1
644,3
645,3
646,7
647,9
648,4
649,3
650,3
651,10
652,8
653,0
654,2
655,5
656,5
657,8
658,9
659,9
660,2
661,6
662,0
663,9
664,1
665,1
666,7
667,5
668,4
669,4
670,0
671,9
672,3
673,3
674,4
675,5
676,3
677,5
678,5
679,1
680,2
681,8
682,2
683,5
684,0
685,7
686,6
687,2
688,10
689,7
690,10
691,9
692,3
693,2
694,2
695,8
696,6
697,8
698,3
699,9
700,9
701,8
702,10
703,0
704,4
705,10
706,8
707,0
708,5
709,3
710,4
711,8
712,6
713,9
714,6
715,2
716,4
717,2
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,1
728,4
729,10
730,10
731,1
732,8
733,5
734,4
735,3
736,3
737,0
738,1
739,7
740,3
741,3
742,4
743,3
744,6
745,5
746,2
747,3
748,6
749,10
750,5
751,2
752,5
753,5
754,8
755,0
756,8
757,10
758,9
759,8
760,2
761,9
762,4
763,7
764,2
765,1
766,8
767,9
768,10
769,10
770,2
771,4
772,5
773,5
774,3
775,2
776,1
777,5
778,8
779,4
780,9
