Id,Category
0,8
1,10
2,8
3,9
4,5
5,0
6,9
7,10
8,8
9,2
10,10
11,0
12,8
13,10
14,8
15,4
16,9
17,1
18,5
19,9
20,3
21,2
22,2
23,2
24,1
25,3
26,2
27,4
28,8
29,8
30,5
31,9
32,7
33,1
34,2
35,2
36,5
37,10
38,0
39,8
40,7
41,1
42,8
43,3
44,5
45,1
46,10
47,3
48,8
49,9
50,10
51,1
52,3
53,3
54,2
55,8
56,0
57,7
58,6
59,9
60,2
61,8
62,2
63,3
64,10
65,1
66,1
67,9
68,9
69,8
70,2
71,5
72,5
73,5
74,4
75,2
76,4
77,3
78,9
79,9
80,0
81,2
82,9
83,8
84,8
85,2
86,4
87,2
88,10
89,6
90,8
91,5
92,4
93,2
94,6
95,6
96,2
97,2
98,6
99,10
100,8
101,2
102,8
103,8
104,4
105,7
106,6
107,5
108,9
109,8
110,2
111,5
112,9
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,8
121,5
122,0
123,2
124,3
125,8
126,5
127,8
128,10
129,9
130,8
131,0
132,8
133,0
134,2
135,2
136,1
137,10
138,0
139,3
140,8
141,10
142,2
143,8
144,1
145,10
146,9
147,8
148,8
149,5
150,5
151,1
152,9
153,8
154,10
155,1
156,2
157,1
158,8
159,2
160,5
161,8
162,5
163,5
164,8
165,8
166,8
167,8
168,3
169,9
170,8
171,2
172,9
173,4
174,1
175,2
176,9
177,10
178,8
179,2
180,1
181,8
182,9
183,8
184,10
185,9
186,5
187,4
188,2
189,4
190,9
191,3
192,2
193,0
194,7
195,5
196,8
197,9
198,4
199,4
200,9
201,2
202,8
203,7
204,9
205,2
206,0
207,4
208,10
209,4
210,2
211,2
212,10
213,2
214,9
215,2
216,10
217,0
218,9
219,5
220,2
221,2
222,2
223,7
224,5
225,4
226,9
227,9
228,7
229,3
230,0
231,2
232,7
233,8
234,1
235,2
236,9
237,10
238,0
239,6
240,5
241,0
242,8
243,4
244,9
245,8
246,6
247,9
248,8
249,5
250,9
251,3
252,5
253,0
254,9
255,5
256,0
257,9
258,3
259,0
260,8
261,8
262,8
263,0
264,10
265,9
266,1
267,0
268,0
269,9
270,9
271,3
272,8
273,4
274,6
275,9
276,9
277,2
278,9
279,9
280,9
281,2
282,2
283,0
284,10
285,7
286,2
287,4
288,3
289,10
290,9
291,4
292,9
293,8
294,8
295,6
296,7
297,4
298,8
299,5
300,2
301,2
302,8
303,1
304,0
305,10
306,2
307,3
308,9
309,3
310,1
311,0
312,0
313,8
314,8
315,5
316,7
317,0
318,0
319,1
320,1
321,2
322,8
323,1
324,4
325,3
326,2
327,6
328,10
329,4
330,8
331,0
332,10
333,9
334,2
335,2
336,8
337,2
338,8
339,10
340,9
341,6
342,2
