Id,Category
0,0
1,10
2,7
3,9
4,7
5,3
6,0
7,10
8,7
9,2
10,3
11,0
12,5
13,10
14,0
15,4
16,9
17,2
18,7
19,3
20,3
21,5
22,3
23,3
24,1
25,0
26,10
27,4
28,5
29,8
30,5
31,9
32,10
33,3
34,2
35,8
36,5
37,10
38,10
39,3
40,6
41,2
42,6
43,3
44,5
45,1
46,7
47,7
48,10
49,9
50,10
51,1
52,3
53,8
54,0
55,8
56,7
57,7
58,6
59,8
60,0
61,8
62,6
63,3
64,10
65,1
66,2
67,9
68,2
69,10
70,5
71,6
72,5
73,8
74,5
75,7
76,0
77,0
78,2
79,9
80,0
81,5
82,9
83,8
84,6
85,3
86,4
87,4
88,8
89,6
90,2
91,5
92,3
93,5
94,7
95,6
96,3
97,2
98,6
99,10
100,9
101,2
102,8
103,8
104,4
105,7
106,6
107,5
108,9
109,10
110,5
111,8
112,5
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,0
121,6
122,3
123,5
124,3
125,2
126,7
127,8
128,10
129,9
130,8
131,3
132,10
133,0
134,4
135,3
136,3
137,10
138,3
139,0
140,8
141,3
142,5
143,8
144,3
145,7
146,9
147,5
148,3
149,5
150,5
151,0
152,7
153,10
154,10
155,9
156,0
157,7
158,8
159,2
160,5
161,8
162,5
163,5
164,8
165,2
166,8
167,8
168,3
169,3
170,8
171,2
172,4
173,5
174,7
175,2
176,2
177,10
178,8
179,7
180,3
181,8
182,9
183,6
184,10
185,9
186,5
187,2
188,7
189,4
190,7
191,3
192,1
193,0
194,7
195,4
196,8
197,3
198,0
199,1
200,9
201,8
202,8
203,7
204,2
205,7
206,7
207,9
208,10
209,2
210,8
211,2
212,10
213,3
214,1
215,2
216,10
217,0
218,7
219,3
220,0
221,2
222,2
223,7
224,5
225,5
226,0
227,2
228,7
229,3
230,7
231,9
232,7
233,8
234,6
235,8
236,0
237,10
238,0
239,7
240,2
241,3
242,0
243,7
244,6
245,5
246,3
247,9
248,10
249,9
250,9
251,3
252,3
253,8
254,5
255,0
256,7
257,9
258,3
259,7
260,7
261,8
262,6
263,10
264,5
265,9
266,1
267,3
268,0
269,9
270,9
271,3
272,10
273,4
274,2
275,0
276,9
277,7
278,5
279,0
280,9
281,0
282,9
283,3
284,10
285,0
286,2
287,7
288,6
289,10
290,9
291,4
292,0
293,10
294,7
295,6
296,7
297,3
298,10
299,5
300,8
301,2
302,8
303,1
304,7
305,10
306,10
307,8
308,9
309,4
310,7
311,3
312,7
313,8
314,2
315,3
316,7
317,7
318,7
319,1
320,0
321,0
322,0
323,7
324,4
325,3
326,5
327,6
328,10
329,4
330,8
331,0
332,10
333,9
334,7
335,6
336,3
337,3
338,5
339,10
340,9
341,6
342,5
343,8
344,0
345,5
346,3
347,6
348,4
349,7
350,7
351,8
352,7
353,2
354,7
355,2
356,8
357,10
358,8
359,4
360,3
361,5
362,10
363,5
364,2
365,5
366,0
367,3
368,2
369,7
370,9
371,4
372,2
373,2
374,0
375,0
376,9
377,9
378,8
379,5
380,10
381,7
382,4
383,2
384,3
385,0
386,3
387,10
388,10
389,0
390,4
391,7
392,10
393,10
394,7
395,3
396,8
397,8
398,2
399,9
400,9
401,1
402,1
403,3
404,7
405,3
406,10
407,0
408,0
409,4
410,9
411,6
412,3
413,7
414,3
415,7
416,8
417,5
418,3
419,3
420,5
421,4
422,5
423,10
424,3
425,8
426,9
427,6
428,9
429,2
430,5
431,2
432,7
433,8
434,0
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,9
443,0
444,2
445,3
446,0
447,7
448,0
449,2
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,4
458,8
459,7
460,10
461,7
462,10
463,10
464,6
465,1
466,7
467,7
468,7
469,5
470,5
471,4
472,8
473,8
474,0
475,7
476,7
477,1
478,0
479,6
480,5
481,0
482,3
483,1
484,10
485,5
486,7
487,9
488,5
489,9
490,3
491,5
492,7
493,2
494,5
495,2
496,8
497,8
498,3
499,10
500,7
501,9
502,6
503,7
504,0
505,6
506,7
507,8
508,10
509,10
510,2
511,7
512,9
513,9
514,0
515,2
516,7
517,9
518,6
519,3
520,3
521,8
522,7
523,7
524,3
525,2
526,4
527,7
528,7
529,0
530,5
531,1
532,4
533,3
534,7
535,10
536,3
537,4
538,7
539,10
540,2
541,2
542,7
543,3
544,9
545,8
546,0
547,5
548,3
549,10
550,2
551,3
552,7
553,6
554,4
555,6
556,0
557,1
558,6
559,5
560,7
561,0
562,5
563,0
564,3
565,4
566,5
567,0
568,5
569,3
570,0
571,0
572,7
573,5
574,9
575,7
576,8
577,7
578,4
579,3
580,2
581,5
582,5
583,9
584,3
585,7
586,2
587,3
588,7
589,6
590,0
591,10
592,4
593,5
594,8
595,9
596,5
597,0
598,4
599,8
600,5
601,10
602,3
603,7
604,5
605,9
606,9
607,5
608,5
609,3
610,5
611,7
612,5
613,2
614,5
615,10
616,8
617,9
618,0
619,9
620,7
621,3
622,4
623,5
624,7
625,0
626,3
627,5
628,8
629,7
630,3
631,0
632,2
633,3
634,4
635,3
636,9
637,1
638,8
639,7
640,10
641,0
642,0
643,1
644,3
645,0
646,7
647,4
648,5
649,3
650,7
651,10
652,8
653,5
654,8
655,5
656,5
657,8
658,2
659,3
660,1
661,5
662,7
663,9
664,9
665,8
666,7
667,4
668,0
669,0
670,7
671,9
672,3
673,8
674,5
675,5
676,3
677,0
678,5
679,0
680,1
681,3
682,0
683,4
684,7
685,7
686,6
687,0
688,7
689,7
690,2
691,9
692,3
693,5
694,0
695,7
696,6
697,8
698,3
699,9
700,7
701,2
702,10
703,0
704,3
705,10
706,8
707,7
708,5
709,7
710,5
711,5
712,6
713,1
714,7
715,3
716,3
717,2
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,5
726,5
727,3
728,5
729,4
730,10
731,7
732,8
733,6
734,3
735,3
736,3
737,2
738,8
739,7
740,3
741,7
742,8
743,3
744,7
745,2
746,2
747,0
748,6
749,8
750,4
751,1
752,7
753,5
754,3
755,0
756,8
757,10
758,9
759,10
760,2
761,8
762,0
763,8
764,8
765,2
766,0
767,9
768,5
769,10
770,6
771,4
772,2
773,2
774,6
775,8
776,8
777,5
778,10
779,4
780,8
781,6
782,4
783,0
784,7
785,8
786,7
787,0
788,8
789,10
790,7
791,8
792,7
793,9
794,7
795,2
796,3
797,2
798,0
799,3
800,8
801,1
802,0
803,8
804,0
805,7
806,10
807,8
808,10
809,3
810,0
811,8
812,0
813,7
814,5
815,4
816,3
817,9
818,0
819,3
820,10
821,3
822,2
823,10
824,4
825,6
826,5
827,3
828,9
829,0
830,0
831,6
832,8
833,7
834,2
835,0
836,1
837,2
838,2
839,3
840,5
841,10
842,3
843,3
844,3
845,2
846,0
847,10
848,0
849,7
850,5
851,9
852,4
853,3
854,10
855,10
856,10
857,10
858,0
859,5
860,1
861,0
862,0
863,3
864,0
865,0
866,2
867,10
868,8
869,3
870,2
871,7
872,5
873,6
874,9
875,3
876,9
877,8
878,5
879,10
880,3
881,5
882,9
883,7
884,4
885,9
886,5
887,0
888,2
889,4
890,6
891,3
892,5
893,5
894,6
895,2
896,2
897,5
898,4
899,9
900,6
901,10
902,6
903,3
904,6
905,9
906,7
907,5
908,9
909,0
910,10
911,7
912,9
913,3
914,0
915,3
916,5
917,1
918,0
919,7
920,3
921,3
922,8
923,9
924,0
925,2
926,3
927,7
928,4
929,9
930,7
931,2
932,9
933,7
934,2
935,0
936,8
937,2
938,8
939,8
940,7
941,0
942,3
943,10
944,7
945,10
946,7
947,3
948,7
949,0
950,7
951,8
952,7
953,9
954,1
955,9
956,6
957,7
958,4
959,9
960,1
961,3
962,7
963,8
964,10
965,7
966,0
967,2
968,3
969,4
970,5
971,7
972,8
973,5
974,0
975,2
976,7
977,5
978,5
979,0
980,3
981,7
982,0
983,3
984,7
985,8
986,5
987,5
988,10
989,9
990,5
991,6
992,5
993,7
994,7
995,7
996,4
997,2
998,9
999,0
1000,9
1001,5
1002,10
1003,7
1004,3
1005,7
1006,7
1007,2
1008,7
1009,0
1010,5
1011,0
1012,6
1013,2
1014,0
1015,10
1016,4
1017,8
1018,7
1019,9
1020,10
1021,9
1022,5
1023,8
1024,9
1025,5
1026,10
1027,0
1028,10
1029,5
1030,7
1031,5
1032,6
1033,3
1034,0
1035,7
1036,7
1037,5
1038,8
1039,8
1040,9
1041,8
1042,1
1043,0
1044,0
1045,6
1046,1
1047,5
1048,4
1049,9
1050,8
1051,3
1052,9
1053,7
1054,8
1055,6
1056,0
1057,5
1058,3
1059,9
1060,10
1061,10
1062,5
1063,10
1064,7
1065,8
1066,7
1067,10
1068,9
1069,9
1070,3
1071,7
1072,3
1073,2
1074,10
1075,6
1076,8
1077,5
1078,10
1079,10
1080,9
1081,5
1082,7
1083,0
1084,4
1085,8
1086,7
1087,4
1088,7
1089,0
1090,7
1091,10
1092,3
1093,6
1094,8
1095,1
1096,10
1097,2
1098,4
1099,7
1100,7
1101,7
1102,5
1103,4
1104,6
1105,6
1106,9
1107,10
1108,8
1109,9
1110,8
1111,9
1112,2
1113,2
1114,3
1115,3
1116,10
1117,5
1118,5
1119,6
1120,7
1121,0
1122,7
1123,3
1124,3
1125,9
1126,6
1127,3
1128,1
1129,4
1130,1
1131,4
1132,2
1133,7
1134,8
1135,8
1136,5
1137,5
1138,0
1139,7
1140,6
1141,3
1142,0
1143,5
1144,2
1145,3
1146,8
1147,10
1148,6
1149,10
1150,4
1151,6
1152,4
1153,0
1154,0
1155,9
1156,5
1157,3
1158,3
1159,3
1160,10
1161,6
1162,3
1163,9
1164,7
1165,2
1166,3
1167,5
1168,0
1169,5
1170,4
1171,5
1172,7
1173,2
1174,0
1175,8
1176,10
1177,1
1178,0
1179,4
1180,1
1181,6
1182,8
1183,8
1184,3
1185,6
1186,6
1187,3
1188,5
1189,9
1190,7
1191,2
1192,5
1193,6
1194,10
1195,3
1196,0
1197,5
1198,0
1199,4
1200,2
1201,0
1202,0
1203,3
1204,0
1205,4
1206,8
1207,9
1208,9
1209,6
1210,9
1211,8
1212,5
1213,10
1214,5
1215,8
1216,8
1217,10
1218,6
1219,9
1220,10
1221,5
1222,7
1223,7
1224,0
1225,6
1226,8
1227,6
1228,1
1229,9
1230,0
1231,3
1232,10
1233,10
1234,5
1235,8
1236,4
1237,3
1238,4
1239,9
1240,6
1241,5
1242,8
1243,7
1244,0
1245,8
1246,4
1247,5
1248,3
1249,5
1250,10
1251,9
1252,10
1253,5
1254,5
1255,8
1256,4
1257,10
1258,5
1259,7
1260,0
1261,0
1262,0
1263,0
1264,8
1265,9
1266,5
1267,10
1268,10
1269,3
1270,2
1271,3
1272,7
1273,7
1274,7
1275,3
1276,0
1277,0
1278,3
1279,2
1280,2
1281,3
1282,9
1283,5
1284,7
1285,3
1286,3
1287,8
1288,10
1289,0
1290,8
1291,8
1292,5
1293,5
1294,0
1295,4
1296,7
1297,0
1298,9
1299,0
1300,9
1301,8
1302,5
1303,4
1304,0
1305,0
1306,0
1307,0
1308,3
1309,8
1310,10
1311,3
1312,3
1313,3
1314,2
1315,0
1316,0
1317,10
1318,5
1319,10
1320,8
1321,7
1322,3
1323,0
1324,10
1325,0
1326,0
1327,4
1328,4
1329,3
1330,10
1331,4
1332,8
1333,7
1334,5
1335,4
1336,8
1337,2
1338,4
1339,1
1340,10
1341,8
1342,4
1343,8
1344,3
1345,7
1346,3
1347,7
1348,8
1349,4
1350,3
1351,5
1352,8
1353,0
1354,10
1355,7
1356,8
1357,6
1358,0
1359,0
1360,0
1361,9
1362,5
1363,2
1364,10
1365,7
1366,0
1367,5
1368,5
1369,9
1370,8
1371,0
1372,6
1373,3
1374,9
1375,4
1376,10
1377,8
1378,4
1379,8
1380,4
1381,3
1382,3
1383,3
1384,4
1385,4
1386,4
1387,8
1388,9
1389,5
1390,10
1391,5
1392,7
1393,5
1394,8
1395,2
1396,10
1397,8
1398,8
1399,1
1400,8
1401,3
1402,9
1403,5
1404,9
1405,4
1406,9
1407,7
1408,8
1409,2
1410,0
1411,0
1412,6
1413,2
1414,8
1415,2
1416,5
1417,0
1418,3
1419,6
1420,6
1421,7
1422,7
1423,3
1424,10
1425,0
1426,3
1427,7
1428,5
1429,2
1430,0
1431,7
1432,8
1433,3
1434,2
1435,6
1436,5
1437,6
1438,5
1439,5
1440,9
1441,0
1442,1
1443,8
1444,10
1445,7
1446,8
1447,10
1448,0
1449,0
1450,6
1451,4
1452,5
1453,9
1454,10
1455,7
1456,9
1457,3
1458,7
1459,0
1460,2
1461,3
1462,2
1463,2
1464,8
1465,5
1466,8
1467,6
1468,1
1469,2
1470,2
1471,1
1472,5
1473,2
1474,7
1475,7
1476,9
1477,4
1478,8
1479,6
1480,6
1481,5
1482,9
1483,9
1484,6
1485,5
1486,4
1487,3
1488,7
1489,7
1490,3
1491,8
1492,5
1493,2
1494,10
1495,9
1496,9
1497,0
1498,4
1499,10
1500,4
1501,6
1502,8
1503,2
1504,0
1505,9
1506,5
1507,7
1508,8
1509,5
1510,3
1511,10
1512,2
1513,3
1514,5
1515,1
1516,10
1517,5
1518,5
1519,2
1520,5
1521,7
1522,6
1523,2
1524,9
1525,5
1526,6
1527,4
1528,8
1529,3
1530,10
1531,2
1532,0
1533,0
1534,8
1535,7
1536,7
1537,5
1538,0
1539,7
1540,9
1541,7
1542,4
1543,6
1544,6
1545,7
1546,9
1547,8
1548,10
1549,4
1550,0
1551,8
1552,6
1553,1
1554,6
1555,1
1556,3
1557,5
1558,7
1559,9
1560,3
1561,8
1562,3
1563,9
1564,7
1565,7
1566,9
1567,7
1568,2
1569,1
1570,3
1571,2
1572,10
1573,10
1574,10
1575,4
1576,7
1577,7
1578,8
1579,7
1580,9
1581,7
1582,4
1583,5
1584,8
1585,0
1586,4
1587,5
1588,5
1589,7
1590,8
1591,10
1592,5
1593,10
1594,8
1595,0
1596,10
1597,7
1598,3
1599,10
1600,0
1601,4
1602,4
1603,8
1604,8
1605,8
1606,7
1607,8
1608,7
1609,7
1610,3
1611,7
1612,9
1613,3
1614,7
1615,7
1616,0
1617,2
1618,6
1619,3
1620,8
1621,0
1622,2
1623,8
1624,10
1625,8
1626,3
1627,3
1628,8
1629,1
1630,0
1631,7
1632,8
1633,6
1634,3
1635,3
1636,7
1637,3
1638,5
1639,1
1640,5
1641,0
1642,5
1643,7
1644,3
1645,2
1646,0
1647,7
1648,8
1649,8
1650,7
1651,5
1652,5
1653,7
1654,9
1655,3
1656,1
1657,10
1658,5
1659,1
1660,0
1661,4
1662,1
1663,5
1664,0
1665,7
1666,10
1667,0
1668,0
1669,0
1670,7
1671,8
1672,7
1673,5
1674,7
1675,3
1676,3
1677,7
1678,5
1679,3
1680,1
1681,6
1682,4
1683,3
1684,5
1685,10
1686,5
1687,3
1688,0
1689,10
1690,8
1691,2
1692,5
1693,9
1694,5
1695,9
1696,8
1697,6
1698,9
1699,2
1700,0
1701,9
1702,8
1703,7
1704,8
1705,8
1706,3
1707,10
1708,0
1709,6
1710,3
1711,10
1712,5
1713,5
1714,4
1715,8
1716,10
1717,5
1718,9
1719,5
1720,3
1721,7
1722,4
1723,4
1724,0
1725,1
1726,3
1727,10
1728,0
1729,3
1730,9
1731,8
1732,7
1733,2
1734,7
1735,7
1736,0
1737,7
1738,3
1739,8
1740,8
1741,6
1742,9
1743,0
1744,7
1745,0
1746,7
1747,4
1748,9
1749,9
1750,0
1751,3
1752,10
1753,6
1754,3
1755,5
1756,3
1757,7
1758,3
1759,1
1760,3
1761,4
1762,3
1763,7
1764,3
1765,9
1766,3
1767,5
1768,4
1769,5
1770,5
1771,5
1772,10
1773,10
1774,0
1775,5
1776,7
1777,9
1778,3
1779,8
1780,3
1781,8
1782,0
1783,9
1784,9
1785,7
1786,0
1787,0
1788,4
1789,9
1790,8
1791,7
1792,0
1793,3
1794,6
1795,7
1796,5
1797,8
1798,5
1799,8
1800,7
1801,0
1802,3
1803,8
1804,6
1805,7
1806,7
1807,5
1808,9
1809,4
1810,7
1811,4
1812,7
1813,2
1814,10
1815,2
1816,7
1817,4
1818,8
1819,7
1820,9
1821,10
1822,0
1823,0
1824,7
1825,6
1826,0
1827,2
1828,9
1829,2
1830,7
1831,2
1832,7
1833,9
1834,6
1835,3
1836,3
1837,9
1838,6
1839,2
1840,0
1841,3
1842,9
1843,8
1844,5
1845,3
1846,6
1847,0
1848,0
1849,3
1850,2
1851,5
1852,7
1853,8
1854,7
1855,4
1856,6
1857,7
1858,8
1859,6
1860,8
1861,2
1862,0
1863,3
1864,8
1865,3
1866,8
1867,5
1868,1
1869,7
1870,7
1871,5
1872,2
1873,10
1874,0
1875,10
1876,8
1877,4
1878,0
1879,6
1880,0
1881,8
1882,5
1883,2
1884,4
1885,6
1886,9
1887,6
1888,10
1889,1
1890,4
1891,0
1892,9
1893,7
1894,7
1895,0
1896,3
1897,9
1898,0
1899,5
1900,2
1901,9
1902,3
1903,6
1904,10
1905,0
1906,3
1907,5
1908,1
1909,7
1910,10
1911,3
1912,3
1913,3
1914,9
1915,9
1916,6
1917,3
1918,7
1919,0
1920,7
1921,10
1922,10
1923,7
1924,7
1925,8
