Id,Predicted
0,5.4119716
1,5.90035
2,5.1262865
3,4.661326
4,5.673369
5,6.0447335
6,4.3192058
7,5.591264
8,4.7726784
9,4.961272
10,7.1725955
11,6.4129953
12,7.814193
13,6.286094
14,7.139532
15,4.8078923
16,5.516438
17,5.6033034
18,5.948945
19,5.6634154
20,6.8365026
21,7.034173
22,4.7658
23,5.599442
24,5.467478
25,5.02405
26,8.268829
27,8.223008
28,8.23379
29,5.557964
30,4.928862
31,6.22941
32,5.723216
33,7.4257755
34,4.054796
35,4.959817
36,5.6177998
37,4.2558045
38,7.256987
39,6.459859
40,5.7187133
41,6.1506186
42,7.5764375
43,6.3628097
44,5.668376
45,8.507496
46,6.9250145
47,5.7337027
48,4.706868
49,4.7781734
50,6.89966
51,6.40922
52,6.241039
53,6.124727
54,5.544104
55,4.7565484
56,5.160238
57,7.0268645
58,7.490643
59,3.4758348
60,5.9008965
61,5.293542
62,6.271954
63,8.207544
64,6.852559
65,5.40845
66,7.680147
67,4.987194
68,5.695438
69,5.480882
70,7.1136055
71,10.343516
72,5.235639
73,8.554983
74,9.141816
75,4.5140805
76,4.020087
77,5.165833
78,5.044269
79,10.364436
80,5.443997
81,4.2975774
82,5.4139967
83,6.3362384
84,5.1700177
85,8.336989
86,5.7705474
87,4.4770846
88,5.865931
89,4.4511356
90,4.772672
91,5.2082705
92,4.901337
93,4.862923
94,4.6633687
95,4.9171195
96,7.791272
97,4.9455476
98,5.270895
99,6.378076
100,5.097761
101,5.1339083
102,6.0218654
103,5.5376234
104,7.107095
105,6.0447526
106,6.3992877
107,4.271928
108,5.209048
109,4.1069794
110,6.556785
111,5.7483244
112,7.1272397
113,4.507324
114,6.90026
115,5.4922895
116,5.5916452
117,5.974126
118,5.365503
119,9.000654
120,5.104347
121,6.1495295
122,5.845697
123,4.7821555
124,5.249462
125,4.627809
126,4.2353487
127,7.5825276
128,5.584935
129,5.9294972
130,5.329446
131,4.0343175
132,6.3392487
133,7.7213454
134,4.8774624
135,3.9249012
136,5.6358933
137,5.0258927
138,5.753801
139,5.73271
140,6.3601127
141,3.7823248
142,5.8030386
143,4.044346
144,6.464409
145,4.492437
146,7.07072
147,5.2041154
148,6.3201995
149,5.33165
150,6.009953
151,8.5885725
152,4.9049478
153,4.7906313
154,5.760957
155,7.1601763
156,6.2570415
157,4.9935513
158,8.6586275
159,4.896995
160,3.963297
161,4.479372
162,5.1905904
163,5.854371
164,6.657013
165,5.0056357
166,5.1466174
167,3.7671742
168,3.9552336
169,4.075951
170,6.4000287
171,6.7580295
172,5.747297
